created,tweet_text
Tue Apr 05 05:10:34 +0000 2022,"RT @Hjh4Ks: 태무하리 청혼결혼신혼 쓰리플혼 가보자고
옆커플은 벌써 첫번째 단계를 깻어 이눔들아"
Tue Apr 05 05:09:38 +0000 2022,자꾸 이러시면 리플을 날릴 수밖에 없습니다.
Tue Apr 05 05:08:20 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 05:02:48 +0000 2022,"RT @miel_less: Rt)데레스테 덱 짜주실 천사분을 구합니다 제가 레조덱까지는 어찌어찌 짰는데 매직 나오고부터 스코어링덱을 짜기가 어렵네요🥲🥲 
매직 뮤추얼 유니즌 리플레인 아무튼 어지간한 건 다 있어요 
전속성/각 속성별 단속덱 짜주실 천…"
Tue Apr 05 04:51:28 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 04:46:01 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 04:45:29 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 04:31:43 +0000 2022,세니트가 되기 전 이름이 리플인데 적어도 이때 행복을 기대했는데 세니트가 되서 행복한 적이 거의 없긴 햇어
Tue Apr 05 04:30:39 +0000 2022,"리플 님이 죽은자리에 피는 꽃은『상사화』 꽃말은 ""이룰수 없는 행복"" 입니다

이거 뒤에 사람 있나요 뼈를 때리네...
#shindanmaker #죽은자리에피는꽃
https://t.co/jXR65Xnmxh"
Tue Apr 05 04:24:28 +0000 2022,로그주의 리플은 꼭 읽도록 하자?
Tue Apr 05 04:20:13 +0000 2022,@uing12 ㅎㅁ 하의는 옥리플레이서까지 빠지면 천재신발스증옵션을 너무버리는 느낌이엇는데 감전은 스증보장이 없고..화상밖에없는데 지연딜 안심한가여?
Tue Apr 05 04:17:00 +0000 2022,"CIX 씨아이엑스 웨이브 앨범
스크래치 메세지 카드 양도합니다. 

웨이브 버전 ➡️ BX 승훈 용희 현석
리플 버전 ➡️ BX 승훈 용희 진영
스톰 버전 ➡️ 용희 진영 현석

개당 0.1 
디엠 주세요!… https://t.co/L82GqwNFy1"
Tue Apr 05 04:16:47 +0000 2022,"CIX 씨아이엑스 웨이브 앨범
폴딩 포스터 양도합니다. 

웨이브 버전 ➡️ 용희 진영 현석
리플 버전 ➡️ 용희 진영
스톰 버전 ➡️ 승훈 용희 진영

개당 0.1 
디엠 주세요!

CIX 씨아이엑스 씨아… https://t.co/7VNuoQDmAe"
